"FOMC Dissent Data Appendix to ""Making Sense of Dissents: A History of FOMC Dissents."" Federal Reserve Bank of St. Louis Review, Third Quarter 2014 Vol. 96, No. 3",,,,,,,,,,,,,,,,,,,,,
Authors: Daniel L. Thornton and David C. Wheelock,,,,,,,,,,,,,,,,,,,,,
NOTE: This file was last updated 11/10/2018.,,,,,,,,,,,,,,,,,,,,,
Year,FOMC Meeting,Chair,Dissent (Y or N),FOMC Votes,Votes for Action,Votes Against Action,Number Governors Dissenting,Number Presidents Dissenting,No. Governors for Tighter,No. Governors for Easier,No. Presidents for Tighter,No. Presidents for Easier,Dissenters Tighter,Dissenters Easier,Dissenters Other/Indeterminate,,,,,,
1936,03/19/36,Eccles,N,9,9,0,0,0,,,,,,,,,,,,,
1936,05/25/36,Eccles,N,9,9,0,0,0,,,,,,,,,,,,,
1936,11/20/36,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1937,01/26/37,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1937,03/15/37,Eccles,N,8,8,0,0,0,,,,,,,,,,,,,
1937,04/04/37,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1937,05/05/37,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1937,06/09/37,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1937,11/12/37,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1937,12/01/37,Eccles,N,10,10,0,0,0,,,,,,,,,,,,,
1938,03/01/38,Eccles,N,10,10,0,0,0,,,,,,,,,,,,,
1938,04/22/38,Eccles,N,10,10,0,0,0,,,,,,,,,,,,,
1938,04/29/38,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1938,08/02/38,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1938,09/21/38,Eccles,N,9,9,0,0,0,,,,,,,,,,,,,
1938,12/30/38,Eccles,Y,11,8,3,3,0,,,,,,,"Eccles, Ransom, Draper",,,,,,
1939,03/07/39,Eccles,Y,11,8,3,3,0,,,,,,,"Eccles, Ransom, Draper",,,,,,
1939,03/20/39,Eccles,Y,11,8,3,3,0,,,,,,,"Eccles, Ransom, Draper",,,,,,
1939,04/19/39,Eccles,Y,10,9,1,1,0,,,,,,,Draper,,,,,,
1939,06/21/39,Eccles,Y,11,10,1,1,0,,,,,,,Draper,,,,,,
1939,09/18/39,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1939,12/13/39,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1940,03/20/40,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1940,05/28/40,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1940,09/27/40,Eccles,Y,10,9,1,1,0,,1,,,,Draper,,,,,,,
1940,12/18/40,Eccles,Y,11,10,1,1,0,,,,,,,Draper,,,,,,
1941,03/17/41,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1941,06/10/41,Eccles,N,10,10,0,0,0,,,,,,,,,,,,,
1941,09/27/41,Eccles,N,10,10,0,0,0,,,,,,,,,,,,,
1941,12/12/41,Eccles,N,10,10,0,0,0,,,,,,,,,,,,,
1942,03/02/42,Eccles,N,10,10,0,0,0,,,,,,,,,,,,,
1942,05/08/42,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1942,06/22/42,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1942,08/03/42,Eccles,N,10,10,0,0,0,,,,,,,,,,,,,
1942,09/29/42,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1942,12/14/42,Eccles,N,10,10,0,0,0,,,,,,,,,,,,,
1943,01/26/43,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1943,03/02/43,Eccles,N,10,10,0,0,0,,,,,,,,,,,,,
1943,05/15/43,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1943,06/28/43,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1943,10/18/43,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1944,03/01/44,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1944,05/04/44,Eccles,N,10,10,0,0,0,,,,,,,,,,,,,
1944,09/22/44,Eccles,N,10,10,0,0,0,,,,,,,,,,,,,
1944,12/11/44,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1945,03/01/45,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1945,06/20/45,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1945,10/17/45,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1946,03/01/46,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1946,06/10/46,Eccles,N,10,10,0,0,0,,,,,,,,,,,,,
1946,10/03/46,Eccles,N,10,10,0,0,0,,,,,,,,,,,,,
1947,03/01/47,Eccles,N,10,10,0,0,0,,,,,,,,,,,,,
1947,06/06/47,Eccles,N,10,10,0,0,0,,,,,,,,,,,,,
1947,10/07/47,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1947,12/09/47,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1948,03/01/48,Eccles,N,11,11,0,0,0,,,,,,,,,,,,,
1948,05/20/48,McCabe,N,11,11,0,0,0,,,,,,,,,,,,,
1948,10/04/48,McCabe,N,11,11,0,0,0,,,,,,,,,,,,,
1948,11/30/48,McCabe,N,12,12,0,0,0,,,,,,,,,,,,,
1949,03/01/49,McCabe,N,11,11,0,0,0,,,,,,,,,,,,,
1949,05/03/49,McCabe,N,10,10,0,0,0,,,,,,,,,,,,,
1949,06/28/49,McCabe,N,12,12,0,0,0,,,,,,,,,,,,,
1949,08/05/49,McCabe,N,8,8,0,0,0,,,,,,,,,,,,,
1949,12/13/49,McCabe,N,10,10,0,0,0,,,,,,,,,,,,,
1950,03/01/50,McCabe,N,8,8,0,0,0,,,,,,,,,,,,,
1950,06/14/50,McCabe,N,9,9,0,0,0,,,,,,,,,,,,,
1950,08/18/50,McCabe,N,11,11,0,0,0,,,,,,,,,,,,,
1950,09/28/50,McCabe,N,12,12,0,0,0,,,,,,,,,,,,,
1950,10/11/50,McCabe,N,12,12,0,0,0,,,,,,,,,,,,,
1950,10/30/50,McCabe,N,11,11,0,0,0,,,,,,,,,,,,,
1950,11/27/50,McCabe,N,11,11,0,0,0,,,,,,,,,,,,,
1951,01/31/51,McCabe,N,12,12,0,0,0,,,,,,,,,,,,,
1951,02/08/51,McCabe,N,12,12,0,0,0,,,,,,,,,,,,,
1951,03/02/51,McCabe,N,11,11,0,0,0,,,,,,,,,,,,,
1951,03/08/51,McCabe,N,12,12,0,0,0,,,,,,,,,,,,,
1951,05/17/51,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1951,10/04/51,Martin,N,9,9,0,0,0,,,,,,,,,,,,,
1951,11/14/51,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1952,03/01/52,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1952,06/19/52,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1952,09/25/52,Martin,N,9,9,0,0,0,,,,,,,,,,,,,
1952,12/08/52,Martin,N,9,9,0,0,0,,,,,,,,,,,,,
1953,03/05/53,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1953,06/11/53,Martin,N,9,9,0,0,0,,,,,,,,,,,,,
1953,09/24/53,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1953,12/15/53,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1954,03/03/54,Martin,N,9,9,0,0,0,,,,,,,,,,,,,
1954,06/23/54,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1954,09/22/54,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1954,12/07/54,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1955,01/11/55,Martin,N,9,9,0,0,0,,,,,,,,,,,,,
1955,03/02/55,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1955,05/10/55,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1955,06/22/55,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1955,07/12/55,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1955,08/02/55,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1955,08/23/55,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1955,09/14/55,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1955,09/26/55,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1955,10/04/55,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1955,10/25/55,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1955,11/16/55,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1955,12/13/55,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1956,01/10/56,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1956,01/24/56,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1956,02/15/56,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1956,03/06/56,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1956,03/27/56,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1956,04/17/56,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1956,05/09/56,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1956,05/23/56,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1956,06/05/56,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1956,06/26/56,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1956,07/17/56,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1956,08/07/56,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1956,08/21/56,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1956,09/11/56,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1956,09/25/56,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1956,10/16/56,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1956,11/13/56,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1956,11/27/56,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1956,12/10/56,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1957,01/08/57,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1957,01/28/57,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1957,02/18/57,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1957,03/05/57,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1957,03/26/57,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1957,04/16/57,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1957,05/07/57,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1957,05/28/57,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1957,06/18/57,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1957,07/09/57,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1957,07/30/57,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1957,08/20/57,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1957,09/10/57,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1957,10/01/57,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1957,10/22/57,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1957,11/12/57,Martin,Y,10,9,1,1,0,1,,,,Robertson,,,,,,,,
1957,12/03/57,Martin,Y,11,10,1,1,0,1,,,,Robertson,,,,,,,,
1957,12/17/57,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1958,01/07/58,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1958,01/28/58,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1958,02/11/58,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1958,03/04/58,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1958,03/25/58,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1958,04/15/58,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1958,05/06/58,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1958,05/27/58,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1958,06/17/58,Martin,N,9,9,0,0,0,,,,,,,,,,,,,
1958,07/08/58,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1958,07/29/58,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1958,08/19/58,Martin,N,9,9,0,0,0,,,,,,,,,,,,,
1958,09/09/58,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1958,09/30/58,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1958,10/21/58,Martin,N,9,9,0,0,0,,,,,,,,,,,,,
1958,11/10/58,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1958,12/02/58,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1958,12/16/58,Martin,Y,10,9,1,0,1,,,,1,,Hayes,,,,,,,
1959,01/06/59,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1959,01/27/59,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1959,02/10/59,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1959,03/03/59,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1959,03/24/59,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1959,04/14/59,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1959,05/05/59,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1959,05/26/59,Martin,Y,12,11,1,1,0,,1,,,,Mills,,,,,,,
1959,06/16/59,Martin,N,9,9,0,0,0,,,,,,,,,,,,,
1959,07/07/59,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1959,07/28/59,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1959,08/18/59,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1959,09/01/59,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1959,09/22/59,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1959,10/13/59,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1959,11/04/59,Martin,Y,11,10,1,1,0,,1,,,,Mills,,,,,,,
1959,11/24/59,Martin,Y,11,10,1,1,0,,1,,,,Mills,,,,,,,
1959,12/15/59,Martin,Y,12,11,1,1,0,,1,,,,Mills,,,,,,,
1960,01/12/60,Martin,Y,12,11,1,1,0,,1,,,,Mills,,,,,,,
1960,01/26/60,Martin,Y,12,11,1,1,0,,1,,,,Mills,,,,,,,
1960,02/09/60,Martin,Y,12,11,1,1,0,,1,,,,Mills,,,,,,,
1960,03/01/60,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1960,03/22/60,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1960,04/12/60,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1960,05/03/60,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1960,05/24/60,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1960,06/14/60,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1960,07/06/60,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1960,07/26/60,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1960,08/16/60,Martin,Y,11,7,4,3,1,3,,1,,"King, Shepardson, Szymczak, Allen",,,,,,,,
1960,09/13/60,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1960,10/04/60,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1960,10/25/60,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1960,11/22/60,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1960,12/13/60,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1961,01/10/61,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1961,01/24/61,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1961,02/07/61,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1961,03/07/61,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1961,03/28/61,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1961,04/18/61,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1961,05/09/61,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1961,06/06/61,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1961,06/20/61,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1961,07/11/61,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1961,08/01/61,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1961,08/22/61,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1961,09/12/61,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1961,10/03/61,Martin,Y,11,10,1,1,0,1,,,,Mills,,,,,,,,
1961,10/24/61,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1961,11/14/61,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1961,12/05/61,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1961,12/19/61,Martin,Y,12,8,4,4,0,1,2,,,Mills,"King, Mitchell",Robertson,,,,,,
1962,01/09/62,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1962,01/23/62,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1962,02/13/62,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1962,03/06/62,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1962,03/27/62,Martin,Y,11,10,1,1,0,1,,,,Mills,,,,,,,,
1962,04/17/62,Martin,Y,12,11,1,0,1,,,1,,Hayes,,,,,,,,
1962,05/08/62,Martin,Y,12,11,1,1,0,1,,,,Mills,,,,,,,,
1962,05/29/62,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1962,06/19/62,Martin,Y,11,9,2,2,0,,2,,,,"King, Robertson",,,,,,,
1962,07/10/62,Martin,Y,12,10,2,2,0,,2,,,,"Mitchell, Robertson",,,,,,,
1962,07/31/62,Martin,Y,12,10,2,2,0,,2,,,,"Mitchell, Robertson",,,,,,,
1962,08/21/62,Martin,Y,11,9,2,1,1,,1,,1,,"Mitchell, Bopp",,,,,,,
1962,09/11/62,Martin,Y,12,9,3,3,0,,3,,,,"MIlls, Mitchell, Robertson",,,,,,,
1962,10/02/62,Martin,Y,10,8,2,2,0,,2,,,,"Mills, Mitchell",,,,,,,
1962,10/23/62,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1962,11/13/62,Martin,Y,11,10,1,0,1,,,1,,Hayes,,,,,,,,
1962,12/04/62,Martin,Y,12,11,1,0,1,,,1,,Hayes,,,,,,,,
1962,12/18/62,Martin,Y,12,7,5,3,2,,1,,,,Robertson,"Bryan, Deming, Mills, Mitchell",,,,,,
1963,01/08/63,Martin,Y,11,10,1,1,0,,1,,,,Robertson,,,,,,,
1963,01/29/63,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1963,02/12/63,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1963,03/05/63,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1963,03/26/63,Martin,Y,12,11,1,0,1,,,1,,Hayes,,,,,,,,
1963,04/16/63,Martin,Y,12,10,2,1,1,,1,1,,Treiber,Mills,,,,,,,
1963,05/07/63,Martin,Y,11,6,5,2,3,,,,,,,"Bopp, Clay, Mitchell, Robertson, Scanlon",,,,,,
1963,05/28/63,Martin,Y,11,10,1,1,0,,1,,,,Mitchell,,,,,,,
1963,06/18/63,Martin,Y,10,7,3,2,1,1,1,1,,"Hayes, Balderston",Mitchell,,,,,,,
1963,07/09/63,Martin,Y,12,10,2,2,0,,2,,,,"Mitchell, Robertson",,,,,,,
1963,07/30/63,Martin,Y,10,6,4,2,2,,,,,,,"Bopp, Mitchell, Robertson, Scanlon",,,,,,
1963,08/20/63,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1963,09/10/63,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1963,10/01/63,Martin,Y,11,7,4,3,1,3,,1,,"Hayes, Balderston, Mills, Shepardson",,,,,,,,
1963,10/22/63,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1963,11/12/63,Martin,Y,11,10,1,1,0,,1,,,,Mills,,,,,,,
1963,11/26/63,Martin,Y,11,10,1,1,0,,1,,,,Mills,,,,,,,
1963,12/03/63,Martin,Y,11,10,1,1,0,,1,,,,Mills,,,,,,,
1963,12/17/63,Martin,Y,11,9,2,1,1,,1,1,,Hayes,Mills,,,,,,,
1964,01/07/64,Martin,Y,12,11,1,1,0,,1,,,,Mills,,,,,,,
1964,01/28/64,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1964,02/11/64,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1964,03/03/64,Martin,Y,12,11,1,1,0,,1,,,,Mills,,,,,,,
1964,03/24/64,Martin,Y,12,11,1,1,0,,1,,,,Mills,,,,,,,
1964,04/14/64,Martin,Y,11,8,3,2,1,2,,1,,"Balderston, Hickman, Shepardson",,,,,,,,
1964,05/05/64,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1964,05/26/64,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1964,06/17/64,Martin,Y,10,9,1,1,0,,1,,,,Mills,,,,,,,
1964,07/07/64,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1964,07/28/64,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1964,08/18/64,Martin,Y,11,6,5,3,2,,3,,2,,"Daane, Mitchell, Robertson, Swan, Wayne",,,,,,,
1964,09/08/64,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1964,09/29/64,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1964,10/20/64,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1964,11/10/64,Martin,Y,12,11,1,0,1,,,1,,Hayes,,,,,,,,
1964,12/01/64,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1964,12/15/64,Martin,Y,11,10,1,1,0,1,,,,Mills,,,,,,,,
1965,01/12/65,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1965,02/02/65,Martin,Y,12,10,2,2,0,,2,,,,"Mitchell, Robertson",,,,,,,
1965,03/02/65,Martin,Y,11,8,3,2,1,2,,1,,"Balderston, Ellis, Shepardson",,,,,,,,
1965,03/23/65,Martin,Y,11,8,3,2,1,,2,,1,,"Mitchell, Robertson, Clay",,,,,,,
