"FOMC Dissent Data Appendix to ""Making Sense of Dissents: A History of FOMC Dissents."" Federal Reserve Bank of St. Louis Review, Third Quarter 2014 Vol. 96, No. 3",,,,,,,,,,,,,,,,,,,,,
1965,04/13/65,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1965,05/11/65,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1965,05/25/65,Martin,Y,12,8,4,2,2,2,,2,,"Hayes, Balderston, Ellis, Shepardson",,,,,,,,
1965,06/15/65,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1965,07/13/65,Martin,Y,12,11,1,0,1,,,1,,Ellis,,,,,,,,
1965,08/10/65,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1965,08/31/65,Martin,Y,12,11,1,0,1,,,1,,Treiber,,,,,,,,
1965,09/28/65,Martin,Y,12,9,3,3,0,,3,,,,"Maisel, Mitchell, Robertson",,,,,,,
1965,10/12/65,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1965,11/02/65,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1965,11/23/65,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1965,12/14/65,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1966,01/11/66,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1966,02/08/66,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1966,03/01/66,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1966,03/22/66,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1966,04/12/66,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1966,05/10/66,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1966,06/07/66,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1966,06/28/66,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1966,07/26/66,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1966,08/23/66,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1966,09/13/66,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1966,10/04/66,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1966,11/01/66,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1966,11/22/66,Martin,Y,12,10,2,1,1,,1,,1,,"Hayes, Daane",,,,,,,
1966,12/13/66,Martin,Y,12,8,4,2,2,,2,,2,,"Hayes, Daane, Irons, Shepardson",,,,,,,
1967,01/10/67,Martin,Y,12,9,3,1,2,1,,2,,"Irons, Shepardson, Treiber",,,,,,,,
1967,02/07/67,Martin,Y,12,11,1,1,0,,1,,,,Mitchell,,,,,,,
1967,03/07/67,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1967,04/04/67,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1967,05/02/67,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1967,05/23/67,Martin,Y,12,11,1,0,1,,,1,,Francis,,,,,,,,
1967,06/20/67,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1967,07/18/67,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1967,08/15/67,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1967,09/12/67,Martin,Y,12,9,3,0,3,,,3,,"Hayes, Francis, Scanlon",,,,,,,,
1967,10/03/67,Martin,Y,11,9,2,0,2,,,2,,"Francis, Scanlon",,,,,,,,
1967,10/24/67,Martin,Y,11,10,1,0,1,,,1,,Francis,,,,,,,,
1967,11/14/67,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1967,11/27/67,Martin,N,9,9,0,0,0,,,,,,,,,,,,,
1967,12/12/67,Martin,Y,11,10,1,1,0,,1,,,,Maisel,,,,,,,
1968,01/09/68,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1968,02/06/68,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1968,03/05/68,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1968,03/14/68,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1968,04/02/68,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1968,04/19/68,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1968,04/30/68,Martin,Y,11,10,1,0,1,,,1,,Hickman,,,,,,,,
1968,05/28/68,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1968,06/18/68,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1968,07/16/68,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1968,08/13/68,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1968,08/19/68,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1968,09/10/68,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1968,10/08/68,Martin,Y,12,9,3,0,3,,,3,,"Hayes, Hickman, Kimbrel",,,,,,,,
1968,10/29/68,Martin,Y,12,11,1,0,1,,,1,,Hayes,,,,,,,,
1968,11/26/68,Martin,Y,12,8,4,0,4,,,4,,"Hayes, Hickman, Kimbrel, Morris",,,,,,,,
1968,12/17/68,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1969,01/14/69,Martin,Y,12,11,1,0,1,,,,1,,Morris,,,,,,,
1969,02/04/69,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1969,03/04/69,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1969,04/01/69,Martin,Y,12,10,2,1,1,,1,1,,Coldwell,Maisel,,,,,,,
1969,04/29/69,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1969,05/27/69,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1969,06/24/69,Martin,Y,12,11,1,1,0,,1,,,,Maisel,,,,,,,
1969,07/15/69,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1969,08/12/69,Martin,Y,12,10,2,2,0,,2,,,,"Maisel, Mitchell",,,,,,,
1969,09/09/69,Martin,Y,10,8,2,2,0,,2,,,,"Maisel, Mitchell",,,,,,,
1969,10/07/69,Martin,Y,12,11,1,1,0,,1,,,,Maisel,,,,,,,
1969,10/28/69,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1969,11/25/69,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1969,12/16/69,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1970,01/15/70,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1970,02/10/70,Burns,Y,12,9,3,1,2,1,,2,,"Hayes, Brimmer, Coldwell",,,,,,,,
1970,03/10/70,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1970,04/07/70,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1970,05/05/70,Burns,Y,12,11,1,0,1,,,1,,Francis,,,,,,,,
1970,05/26/70,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1970,06/23/70,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1970,07/21/70,Burns,N,11,11,0,0,0,,,,,,,,,,,,,
1970,08/18/70,Burns,Y,12,9,3,1,2,1,,2,,"Hayes, Brimmer, Francis",,,,,,,,
1970,09/15/70,Burns,Y,11,10,1,0,1,,,1,,Hayes,,,,,,,,
1970,10/20/70,Burns,Y,11,10,1,0,1,,,1,,Hayes,,,,,,,,
1970,11/17/70,Burns,Y,12,11,1,1,0,,1,,,,Maisel,,,,,,,
1970,12/15/70,Burns,Y,12,11,1,0,1,,,1,,Francis,,,,,,,,
1971,01/12/71,Burns,Y,11,10,1,0,1,,,1,,Francis,,,,,,,,
1971,02/09/71,Burns,Y,11,10,1,0,1,,,1,,Francis,,,,,,,,
1971,03/09/71,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1971,04/06/71,Burns,Y,11,9,2,0,2,,,2,,"Hayes, Kimbrel",,,,,,,,
1971,05/11/71,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1971,06/08/71,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1971,06/29/71,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1971,07/27/71,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1971,08/24/71,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1971,09/21/71,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1971,10/19/71,Burns,N,11,11,0,0,0,,,,,,,,,,,,,
1971,11/16/71,Burns,N,11,11,0,0,0,,,,,,,,,,,,,
1971,12/14/71,Burns,N,11,11,0,0,0,,,,,,,,,,,,,
1972,01/11/72,Burns,Y,12,9,3,1,2,,,2,,"Hayes, Kimbrel",,Brimmer,,,,,,
1972,02/15/72,Burns,Y,12,11,1,0,1,,,1,,Hayes,,,,,,,,
1972,03/21/72,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1972,04/18/72,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1972,05/23/72,Burns,N,10,10,0,0,0,,,,,,,,,,,,,
1972,06/20/72,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1972,07/18/72,Burns,Y,11,10,1,0,1,,,1,,Coldwell,,,,,,,,
1972,08/15/72,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1972,09/19/72,Burns,Y,12,10,2,1,1,1,,1,,"MacLaury, Robertson",,,,,,,,
1972,10/17/72,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1972,11/21/72,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1972,12/19/72,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1973,01/16/73,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1973,02/13/73,Burns,N,11,11,0,0,0,,,,,,,,,,,,,
1973,03/20/73,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1973,04/17/73,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1973,05/15/73,Burns,N,10,10,0,0,0,,,,,,,,,,,,,
1973,06/19/73,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1973,07/17/73,Burns,Y,11,10,1,0,1,,,,,,,Francis,,,,,,
1973,08/21/73,Burns,Y,11,10,1,0,1,,,,,,,Francis,,,,,,
1973,09/18/73,Burns,N,11,11,0,0,0,,,,,,,,,,,,,
1973,10/02/73,Burns,Y,11,6,5,2,3,,2,,3,,"Balles, Bucher, Francis, Morris, Sheehan",,,,,,,
1973,10/10/73,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1973,10/16/73,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1973,11/20/73,Burns,Y,12,11,1,0,1,,,,1,,Morris,,,,,,,
1973,12/18/73,Burns,Y,12,11,1,0,1,,,1,,Hayes,,,,,,,,
1974,01/22/74,Burns,Y,12,10,2,0,2,,,2,,"Hayes, Francis",,,,,,,,
1974,02/20/74,Burns,Y,12,8,4,2,2,,2,1,1,Francis,"Bucher, Morris, Sheehan",,,,,,,
1974,03/19/74,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1974,04/16/74,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1974,05/21/74,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1974,06/18/74,Burns,Y,12,11,1,0,1,,,1,,Clay,,,,,,,,
1974,07/16/74,Burns,Y,11,10,1,1,0,,1,,,,Bucher,,,,,,,
1974,08/20/74,Burns,N,11,11,0,0,0,,,,,,,,,,,,,
1974,09/10/74,Burns,Y,11,10,1,0,1,,,1,,Hayes,,,,,,,,
1974,10/15/74,Burns,Y,11,10,1,0,1,,,1,,Clay,,,,,,,,
1974,11/19/74,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1974,12/17/74,Burns,Y,12,10,2,2,0,,2,,,,"Mitchell, Wallich",,,,,,,
1975,01/21/75,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1975,02/19/75,Burns,N,11,11,0,0,0,,,,,,,,,,,,,
1975,03/18/75,Burns,Y,12,9,3,2,1,,2,,1,,"Bucher, Eastburn, Sheehan",,,,,,,
1975,04/15/75,Burns,Y,10,9,1,0,1,,,,1,,Eastburn,,,,,,,
1975,05/20/75,Burns,N,11,11,0,0,0,,,,,,,,,,,,,
1975,06/17/75,Burns,Y,11,9,2,2,0,,2,,,,"Bucher, Coldwell",,,,,,,
1975,07/15/75,Burns,Y,11,10,1,1,0,,1,,,,Holland,,,,,,,
1975,08/19/75,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1975,09/16/75,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1975,10/21/75,Burns,N,11,11,0,0,0,,,,,,,,,,,,,
1975,11/18/75,Burns,Y,12,9,3,1,2,1,,1,1,"Volcker, Jackson",Eastburn,,,,,,,
1975,12/16/75,Burns,N,11,11,0,0,0,,,,,,,,,,,,,
1976,01/20/76,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1976,02/18/76,Burns,N,11,11,0,0,0,,,,,,,,,,,,,
1976,03/16/76,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1976,04/20/76,Burns,N,11,11,0,0,0,,,,,,,,,,,,,
1976,05/18/76,Burns,Y,11,10,1,1,0,,1,,,,Coldwell,,,,,,,
1976,06/22/76,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1976,07/20/76,Burns,Y,12,11,1,0,1,,,,,,,Volcker,,,,,,
1976,08/17/76,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1976,09/21/76,Burns,N,11,11,0,0,0,,,,,,,,,,,,,
1976,10/19/76,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1976,11/16/76,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1976,12/21/76,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1977,01/18/77,Burns,N,12,11,1,0,1,,,1,,Balles,,,,,,,,
1977,02/15/77,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1977,03/15/77,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1977,04/19/77,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1977,05/17/77,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1977,06/21/77,Burns,Y,12,11,1,1,0,,1,,,,Coldwell,,,,,,,
1977,07/19/77,Burns,Y,12,12,0,0,0,,,,,,,,,,,,,
1977,08/16/77,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1977,09/20/77,Burns,Y,12,8,4,2,2,,2,2,,"Morris, Roos","Lilly, Wallich",,,,,,,
1977,10/18/77,Burns,Y,12,11,1,0,1,,,1,,Morris,,,,,,,,
1977,11/15/77,Burns,N,12,12,0,0,0,,,,,,,,,,,,,
1977,12/20/77,Burns,Y,12,11,1,0,1,,,1,,Roos,,,,,,,,
1978,01/17/78,Burns,Y,11,11,0,0,0,,,,,,,,,,,,,
1978,02/28/78,Burns,N,10,10,0,0,0,,,,,,,,,,,,,
1978,03/10/78,Miller,N,10,10,0,0,0,,,,,,,,,,,,,
1978,03/21/78,Miller,N,10,10,0,0,0,,,,,,,,,,,,,
1978,04/18/78,Miller,N,11,11,0,0,0,,,,,,,,,,,,,
1978,05/05/78,Miller,Y,10,8,2,0,2,,,2,,"Black, Willes",,,,,,,,
1978,05/16/78,Miller,Y,11,10,1,0,1,,,1,,Willes,,,,,,,,
1978,06/20/78,Miller,Y,11,9,2,0,2,,,2,,"Willes, Winn",,,,,,,,
1978,07/18/78,Miller,Y,10,7,3,0,3,,,3,,"Baughman, Willes, Winn",,,,,,,,
1978,08/15/78,Miller,Y,11,9,2,1,1,,1,1,,Willes,Partee,,,,,,,
1978,09/08/78,Miller,N,10,10,0,0,0,,,,,,,,,,,,,
1978,09/19/78,Miller,Y,12,10,2,1,1,1,,1,,"Wallich, Willes",,,,,,,,
1978,10/17/78,Miller,Y,11,9,2,1,1,,1,1,,Willes,Teeters,,,,,,,
1978,11/21/78,Miller,N,10,10,0,0,0,,,,,,,,,,,,,
1978,12/19/78,Miller,Y,10,8,2,2,0,1,1,,,Wallich,Teeters,,,,,,,
1979,02/06/79,Miller,Y,10,9,1,1,0,1,,,,Coldwell,,,,,,,,
1979,03/02/79,Miller,N,10,10,0,0,0,,,,,,,,,,,,,
1979,03/20/79,Miller,Y,10,6,4,2,2,2,,2,,"Volcker, Coldwell, Kimbrel, Wallich",,,,,,,,
1979,04/17/79,Miller,Y,10,7,3,2,1,2,,1,,"Volcker, Coldwell, Wallich",,,,,,,,
1979,05/22/79,Miller,Y,10,7,3,2,1,1,1,,1,Wallich,"Balles, Partee",,,,,,,
1979,07/11/79,Miller,N,11,11,0,0,0,,,,,,,,,,,,,
1979,08/14/79,Volcker,Y,12,10,2,1,1,,1,1,,Black,Rice,,,,,,,
1979,09/18/79,Volcker,Y,12,8,4,2,2,1,1,2,,"Balles, Black, Coldwell",Rice,,,,,,,
1979,10/06/79,Volcker,N,12,12,0,0,0,,,,,,,,,,,,,
1979,11/20/79,Volcker,N,12,12,0,0,0,,,,,,,,,,,,,
1980,01/09/80,Volcker,N,12,12,0,0,0,,,,,,,,,,,,,
1980,02/05/80,Volcker,Y,12,10,2,2,0,2,,,,"Coldwell, Wallich",,,,,,,,
1980,02/22/80,Volcker,N,11,11,0,0,0,,,,,,,,,,,,,
1980,03/07/80,Volcker,N,11,11,0,0,0,,,,,,,,,,,,,
1980,03/18/80,Volcker,Y,11,10,1,1,0,1,,,,Wallich,,,,,,,,
1980,04/22/80,Volcker,Y,11,10,1,1,0,1,,,,Wallich,,,,,,,,
1980,05/06/80,Volcker,Y,10,7,3,1,2,1,,2,,"Guffey, Solomon, Wallich",,,,,,,,
1980,05/20/80,Volcker,Y,11,9,2,1,1,,1,,1,,"Partee, Roos",,,,,,,
1980,07/09/80,Volcker,N,12,12,0,0,0,,,,,,,,,,,,,
1980,08/12/80,Volcker,N,12,12,0,0,0,,,,,,,,,,,,,
1980,09/16/80,Volcker,Y,12,8,4,1,3,1,,3,,"Guffey, Roos, Wallich, Winn",,,,,,,,
1980,10/21/80,Volcker,Y,12,8,4,1,3,1,,3,,"Morris, Roos, Wallich, Winn",,,,,,,,
1980,11/18/80,Volcker,Y,12,10,2,1,1,,1,1,,Winn,Teeters,,,,,,,
1980,11/26/80,Volcker,Y,11,10,1,1,0,,1,,,,Teeters,,,,,,,
1980,12/05/80,Volcker,Y,11,9,2,2,0,1,1,,,Wallich,Teeters,,,,,,,
1980,12/12/80,Volcker,Y,11,10,1,1,0,,1,,,,Teeters,,,,,,,
1980,12/19/80,Volcker,Y,12,10,2,2,0,1,1,,,Wallich,Teeters,,,,,,,
1981,02/03/81,Volcker,Y,12,10,2,2,0,1,1,,,Wallich,Teeters,,,,,,,
1981,02/24/81,Volcker,Y,10,9,1,0,1,,,,1,,Roos,,,,,,,
1981,03/31/81,Volcker,Y,11,10,1,1,0,1,,,,Wallich,,,,,,,,
1981,05/06/81,Volcker,N,9,9,0,0,0,,,,,,,,,,,,,
1981,05/18/81,Volcker,N,12,12,0,0,0,,,,,,,,,,,,,
1981,07/07/81,Volcker,Y,12,11,1,1,0,,1,,,,Partee,,,,,,,
1981,08/18/81,Volcker,Y,12,11,1,1,0,,1,,,,Partee,,,,,,,
1981,10/06/81,Volcker,Y,12,11,1,1,0,1,,,,Wallich,,,,,,,,
1981,11/17/81,Volcker,N,12,12,0,0,0,,,,,,,,,,,,,
1981,12/22/81,Volcker,Y,12,10,2,0,2,,,1,,Boykin,,Solomon,,,,,,
1982,02/02/82,Volcker,N,12,12,0,0,0,,,,,,,,,,,,,
1982,03/30/82,Volcker,Y,11,9,2,1,1,1,,1,,"Black, Wallich",,,,,,,,
1982,05/18/82,Volcker,Y,12,11,1,1,0,,1,,,,Teeters,,,,,,,
1982,07/01/82,Volcker,Y,12,8,4,2,2,1,1,2,,"Wallich, Black, Ford",Teeters,,,,,,,
1982,08/24/82,Volcker,Y,11,10,1,1,0,1,,,,Wallich,,,,,,,,
1982,10/05/82,Volcker,Y,12,9,3,0,3,,,2,,"Black, Ford",,Horn,,,,,,
1982,11/16/82,Volcker,Y,12,11,1,0,1,,,1,,Ford,,,,,,,,
1982,12/21/82,Volcker,Y,12,10,2,0,2,,,2,,"Black, Ford",,,,,,,,
1983,02/09/83,Volcker,Y,12,11,1,0,1,,,1,,Ford,,,,,,,,
1983,03/29/83,Volcker,N,12,12,0,0,0,,,,,,,,,,,,,
1983,05/24/83,Volcker,Y,12,7,5,2,3,,2,,3,,"Solomon, Guffey, Morris, Rice, Teeters",,,,,,,
1983,07/13/83,Volcker,Y,12,10,2,2,0,1,1,,,Wallich,Teeters,,,,,,,
1983,08/23/83,Volcker,N,12,12,0,0,0,,,,,,,,,,,,,
1983,10/04/83,Volcker,N,12,12,0,0,0,,,,,,,,,,,,,
1983,11/15/83,Volcker,N,12,12,0,0,0,,,,,,,,,,,,,
1983,12/20/83,Volcker,Y,12,11,1,1,0,,1,,,,Martin,,,,,,,
1984,01/31/84,Volcker,N,12,12,0,0,0,,,,,,,,,,,,,
1984,03/27/84,Volcker,Y,12,9,3,3,0,2,1,,,"Gramley, Wallich",Martin,,,,,,,
1984,05/22/84,Volcker,Y,11,10,1,0,1,,,1,,Boykin,,,,,,,,
1984,07/17/84,Volcker,Y,12,11,1,1,0,,1,,,,Martin,,,,,,,
1984,08/21/84,Volcker,Y,12,11,1,1,0,1,,,,Wallich,,,,,,,,
1984,10/02/84,Volcker,Y,12,9,3,3,0,,3,,,,"Martin, Rice, Seger",,,,,,,
1984,11/07/84,Volcker,Y,12,11,1,1,0,1,,,,Gramley,,,,,,,,
1984,12/18/84,Volcker,Y,12,10,2,1,1,1,,1,,"Solomon, Gramley",,,,,,,,
1985,02/13/85,Volcker,N,12,12,0,0,0,,,,,,,,,,,,,
1985,03/26/85,Volcker,N,12,12,0,0,0,,,,,,,,,,,,,
1985,05/21/85,Volcker,Y,12,11,1,0,1,,,1,,Black,,,,,,,,
1985,07/10/85,Volcker,Y,11,9,2,1,1,,1,1,,Black,Seger,,,,,,,
1985,08/20/85,Volcker,Y,11,9,2,1,1,,1,1,,Black,Seger,,,,,,,
1985,10/01/85,Volcker,Y,11,10,1,0,1,,,1,,Black,,,,,,,,
1985,11/05/85,Volcker,Y,10,9,1,1,0,,1,,,,Seger,,,,,,,
1985,12/17/85,Volcker,Y,10,9,1,0,1,,,1,,Black,,,,,,,,
1986,02/12/86,Volcker,Y,12,10,2,2,0,,2,,,,"Martin, Seger",,,,,,,
1986,04/01/86,Volcker,N,11,11,0,0,0,,,,,,,,,,,,,
1986,05/20/86,Volcker,Y,11,10,1,1,0,1,,,,Wallich,,,,,,,,
1986,07/09/86,Volcker,Y,11,10,1,0,1,,,1,,Melzer,,,,,,,,
1986,08/19/86,Volcker,Y,12,10,2,1,1,1,,1,,"Melzer, Wallich",,,,,,,,
1986,09/23/86,Volcker,Y,12,11,1,1,0,1,,,,Wallich,,,,,,,,
1986,11/05/86,Volcker,N,11,11,0,0,0,,,,,,,,,,,,,
1986,12/16/86,Volcker,N,10,10,0,0,0,,,,,,,,,,,,,
